crop	disease	candidate_rows	kept_rows
Soybean	Bacterial Pustule Of Soybean Disease	21	21
Wheat	Wheat Streak Mosaic Virus	21	21
Wheat	Loose Smut Of Wheat Or Barley	21	21
Dogwood	Dogwood Anthracnose	21	21
Tomato	Bacterial Canker And Wilt Of Tomato	20	20
Oak	Ganoderma Root And Butt Rot	20	20
Sugar Beet	Powdery Mildew	20	20
Wheat	Tan Spot	20	20
Common Beet	Rhizoctonia Damping-Off, Blight And Rot	20	20
Corn	Gray Leaf Spot	20	20
Tall Fescue	Rhizoctonia Damping-Off, Blight And Rot	20	20
White Fir	Phyllosticta Leaf Spots	20	20
Common Sunflower	Sclerotinia Timber Rot	20	20
Soybean	Southern Blight	19	19
Tomato	Cucumber Mosaic Virus	19	19
Tomato	Bacterial Speck Of Tomato	19	19
Ponderosa Pine	Pine Needlecast	19	19
Cabbage Collards And Kale	Alternaria Black Molds / Stem Cankers	19	19
Lemon	Whisker Mold	19	19
Tanoak	Sudden Oak Death	19	19
Peach	Stigmina Fungus	19	19
Norway Maple	Anthracnose	19	19
Apple	Cedar-Apple Rust	19	19
Plum/Cherry	Black Knot	19	19
Tomato	Sclerotinia Timber Rot	19	19
Highbush Blueberry	Anthracnose	19	19
Amaryllis	Didymella Curtisii G.J. Jellis & Punith.	19	19
Peony	Botrytis Blight	19	19
Strawberry	Angular Leaf Spot Of Strawberry	18	18
Lettuce	Mirafiori Lettuce Big-Vein Virus	18	18
Common Bean	Dry Bean Rust	18	18
Dogwood	Powdery Mildew	18	18
Soybean	Bacterial Blight	18	18
Witch-Hazel	Phyllosticta Leaf Spots	18	18
Pecan	Diplodia Fungus	18	18
Cultivated Garlic	Gray Molds	18	18
Fig/Banyan	Fig Rust	18	18
Alternateleaf Dogwood	Cryptodiaporthe Fungus	18	18
Jack Pine	Tar Spot Needlecast	18	18
Juniper	Diaporthe Juniperivora Sacc.	18	18
Highbush Blueberry	Blueberry Leaf Rust	18	18
Coleus	Downy Mildew	18	18
Eastern White Pine	Septoria Leaf Spot And Cankers	18	18
Red Pine	Sirococcus Blight Of Conifers	18	18
Mimosa	Mimosa Wilt	18	18
Melon	Charcoal Rot	18	18
Cabbage	Club Root Of Crucifers	18	18
Cucumber	Rhizoctonia Damping-Off, Blight And Rot	18	18
Peanut	Nothopassalora Personata	17	17
Cotton	Corynespora Leaf Spot	17	17
Melon	Powdery Mildew	17	17
American Elm	Dutch Elm Disease	17	17
Common Pear	Pear Scab	17	17
Douglas-Fir	Rhabdocline Needlecasts	17	17
Wheat	Parastagonospora Nodorum	17	17
Gourd	Powdery Mildew	17	17
Rice	Rhizoctonia Damping-Off, Blight And Rot	17	17
Birch	Marssonina Leaf Spot	17	17
Glossy Buckthorn	Crown Rust	17	17
Balsam Fir	Rhizosphaera Needle Cast	17	17
Melon	Bacterial Fruit Blotch	17	17
Doghobble	Calonectria Cylindrospora Crous, Alfenas & M.J. Wingf.	17	17
Strawberry	Gray Mold	16	16
Loblolly Pine	Leptographium Root Disease	16	16
Shortleaf Pine	Phytophthora Root Rot	16	16
Loblolly Pine	Pine Needle Rusts	16	16
Spinach	Cladosporium Leaf Spot	16	16
Apple	Fire Blight	16	16
Wheat	Barley Yellow Dwarf Virus	16	16
Soybean	Root And Stem Rot	16	16
Corn	Goss' Bacterial Wilt	16	16
Alfalfa	Summer Black Stem	16	16
Cane Fruit (Blackberry, Raspberry)	Orange Rust	16	16
Blue Spruce	Spruce Needle Rusts	16	16
Common Lilac	Cladosporium Fungi	16	16
Lilac	Anthracnose	16	16
Aspen/Poplar	Cytospora Cankers	16	16
Rhododendrons And Azaleas	Pestalotiopsis Leaf Spot	16	16
Cultivated Garlic	Onion Rust	16	16
Common Sunflower	Rust	16	16
Tomato	Southern Bacterial Wilt	15	15
St. Augustinegrass	Rhizoctonia Damping-Off, Blight And Rot	15	15
Broccoli	Downy Mildew	15	15
Corn	Southern Corn Rust	15	15
Sudangrass	Pantoea Rot And Blight	15	15
Orange	Whisker Mold	15	15
Watermelon	Pythium Diseases	15	15
Common Bean	Beet Curly Top Virus	15	15
Pin Oak	Drippy Blight	15	15
Common Bean	Sclerotinia Timber Rot	15	15
Touch-Me-Not	Downy Mildew	15	15
Leyland Cypress	Seiridium Cankers	15	15
Oak	Bacterial Leaf Scorch	15	15
Acidified Potato Dextrose Agar (Apda)	Fungus	15	15
Austrian Pine	Diplodia Sapinea De Not.	15	15
Apple	Black Rot	15	15
Hydrangea	Cercospora Fungi	15	15
Cabbage	Phytophthora Root And Stem Rot	15	15
Tomato	Rhizopus Soft Rots	15	15
Wheat	Wheat Stem Rust	15	15
Eastern White Pine	Needle Cast	15	15
Blue Spruce	Ceropsora Weirii	15	15
Jostaberry	White Pine Blister Rust	15	15
Field Pea	Ascochyta Blight Of Pea	15	15
